,county_x,FIPS,pop_count,POPESTIMATE2020,overcount,undercount,error,abs_error,overcount_5_prc,undercount_5_prc,overcount_10_prc,undercount_10_prc,annual_growth_rate,percent_error,abs_percent_error,total_housing,occ_housing,unocc_housing,total_group,total_inst,adult_jail,juvenille_jail,nursing_homes,other_inst,non_inst_total,college_housing,military_housing,other_non_inst,state_fips_x,county_fips_x,CENSUS2010POP,comp_change_cat,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,fatalityCount,pop_covid_est,county_y,0-5_pop,5-9_pop,10-14_pop,15-19_pop,20-24_pop,25-34_pop,35-44_pop,45-54_pop,55-59_pop,60-64_pop,65-74_pop,75-84_pop,85_plus_pop,white_pop,black_pop,ai_an_pop,asian_pop,black_w_other_race_pop,hisp_any_race_pop,male_pop,female_pop,state_fips_y,county_fips_y,farm_man,recreation,retirement_metro,retirement_non_metro,CENSUS2010HU,HUESTIMATESBASE2010,HUESTIMATE2020,HUESTIMATE042020,Area_name,PCTPOVALL_2020,POV017_2020,MEDHHINC_2020,Unemployed_2019,Employed_2019,Civilian_labor_force_2019,lessthanHSdiploma,HSdiploma,SomeCollege,College,over_65,under_20,norm_unocc,housing_perc_change
0,Alamance County,37001,171415.0,171346.0,1,0,69.0,69.0,0,0,0,0,17134.5,0.0402693964259451,0.0402693964259451,73385.0,67925.0,5460.0,6092.0,1029.0,397.0,18.0,601.0,13.0,5063.0,2.5836611301110035,0.0,636.0,37,1,151131,Natural Increase/Net In-Migration,1942,1879,63,36,2078,1356,169509,"Alamance County, North Carolina",9647.0,9977.0,10746.0,13099.0,10982.0,20616.0,19173.0,22238.0,11925.0,9874.0,15895.0,8334.0,3638.0,66.78241686412288,19.210836552939668,0.4015267353775402,1.5635030873203928,20.67862687194332,12.345196269536492,78854.0,87290.0,37,1,0,0,1,0,66576,66592,74058,73756,Alamance County,15.1,6727.0,53220.0,1.795781634820772,45.89660686564028,81719.0,12.509288787841797,27.93013000488281,34.22237777709961,25.33820343017578,16.263583626113245,25.369136133904497,0.07440212577502214,-0.5030099246163025
1,Alexander County,37003,36444.0,37441.0,0,1,-997.0,997.0,0,0,0,0,3744.0,-2.662856227130685,2.662856227130685,15960.0,14408.0,1552.0,1492.0,1434.0,1274.0,14.0,146.0,0.0,58.0,0.026708688336315806,0.0,48.0,37,3,37198,Natural Decrease/Net In-Migration,344,431,-87,0,109,1,37497,"Alexander County, North Carolina",1770.0,1810.0,2563.0,2081.0,2152.0,4338.0,4489.0,5237.0,2734.0,2556.0,4271.0,2380.0,890.0,87.25728479474373,5.138751635907161,0.9348040917710531,1.0523223204508425,6.746614673753372,4.751475655030581,19049.0,18222.0,37,3,1,0,0,0,16189,16183,16695,16673,Alexander County,11.8,1200.0,53523.0,1.5517747923399483,46.02174087230576,17812.0,16.605316162109375,39.93307495117188,29.235918045043945,14.225692749023438,20.14102187441575,21.965225287786115,0.09724310776942356,-4.276374977508547
2,Alleghany County,37005,10888.0,11194.0,0,1,-306.0,306.0,0,0,0,0,1119.3,-2.7336072896194388,2.7336072896194388,7666.0,4844.0,2822.0,246.0,107.0,39.0,0.0,68.0,0.0,139.0,0.0,0.0,139.0,37,5,11155,Natural Decrease/Net In-Migration,84,154,-70,6,125,0,11137,"Alleghany County, North Carolina",457.0,480.0,592.0,623.0,417.0,1123.0,1102.0,1436.0,751.0,1057.0,1760.0,979.0,308.0,94.03251742004646,1.634804359478292,0.4824012864034304,0.4198677863140968,2.278006074682866,9.648025728068609,5377.0,5708.0,37,5,0,1,0,0,8094,8066,8257,8247,Alleghany County,18.1,562.0,39916.0,1.8045381454350546,37.06449883866357,4351.0,21.25411033630371,27.79473876953125,30.190229415893555,20.760921478271484,27.219939253171344,19.224584598892264,0.36811896686668405,-7.044986055535346
3,Anson County,37007,22055.0,24097.0,0,1,-2042.0,2042.0,0,1,0,0,2409.6,-8.474083910860273,8.474083910860273,9834.0,8554.0,1280.0,1641.0,1612.0,1394.0,0.0,218.0,0.0,29.0,0.0,0.0,29.0,37,7,26948,Natural Decrease/Net Out-Migration,256,312,-56,29,590,44,24446,"Anson County, North Carolina",1180.0,1259.0,1584.0,1393.0,1377.0,3373.0,3002.0,3282.0,1853.0,1575.0,2732.0,1333.0,487.0,47.88977881064033,49.75723119060464,0.4481885711914347,1.3072166659750175,50.612109391210524,4.158193966053866,12394.0,12036.0,37,7,0,0,0,0,11576,11569,11698,11690,Anson County,20.7,1377.0,40818.0,1.8010540731211353,42.29572145910279,10626.0,18.94880104064941,39.570220947265625,30.4133358001709,11.067642211914062,18.89031829688343,22.475826866414906,0.13016066707341875,-15.876817792985458
4,Ashe County,37009,26577.0,27166.0,0,1,-589.0,589.0,0,0,0,0,2716.5,-2.1681513656776854,2.1681513656776854,16935.0,11708.0,5227.0,455.0,347.0,127.0,8.0,212.0,0.0,108.0,0.0,0.0,108.0,37,9,27281,Natural Decrease/Net In-Migration,203,391,-188,-2,143,20,27203,"Ashe County, North Carolina",1100.0,1166.0,1600.0,1379.0,1181.0,2792.0,3067.0,3483.0,1964.0,2428.0,4041.0,2044.0,764.0,95.30663329161452,0.7325333137009498,0.2834425384672017,0.596333652359567,1.1816240889346978,4.965766031068247,13288.0,13721.0,37,9,0,1,0,1,17342,17293,17969,17945,Ashe County,14.5,1016.0,44543.0,1.7006552308032097,45.26614150040491,12759.0,13.666618347167969,31.21022224426269,35.08720779418945,20.035951614379883,25.211661635868367,19.307222263123023,0.30865072335400057,-5.6283087210922265
5,Avery County,37011,17806.0,17571.0,1,0,235.0,235.0,0,0,0,0,1757.0,1.3374309942518925,1.3374309942518925,13827.0,6860.0,6967.0,2516.0,1956.0,1810.0,13.0,133.0,0.0,560.0,2.78299470718798,0.0,71.0,37,11,17797,Natural Decrease/Net In-Migration,148,242,-94,12,158,0,17557,"Avery County, North Carolina",600.0,630.0,790.0,990.0,1096.0,2168.0,2346.0,2506.0,1028.0,1487.0,2282.0,1213.0,374.0,91.62255989983495,4.336691138808264,1.1211655568835013,0.4325308747367822,4.769222013545046,4.991178646633658,9635.0,7875.0,37,11,0,1,0,0,13890,13895,14504,14475,Avery County,15.8,587.0,50800.0,1.5480052359000624,40.914006032667466,7461.0,14.256937980651855,31.01313018798828,31.07281494140625,23.65711784362793,22.019236241534344,17.130499117864666,0.5038692413394084,-4.476683937823834
6,Beaufort County,37013,44652.0,47073.0,0,1,-2421.0,2421.0,0,1,0,0,4707.2,-5.1430756484609015,5.1430756484609015,24090.0,19430.0,4660.0,429.0,261.0,0.0,0.0,261.0,0.0,168.0,0.0,0.0,168.0,37,13,47759,Natural Decrease/Net In-Migration,424,648,-224,18,184,0,46994,"Beaufort County, North Carolina",2291.0,2415.0,2959.0,2773.0,2374.0,4706.0,5065.0,5993.0,3424.0,3966.0,6724.0,3146.0,1324.0,71.26803050581012,24.657446944108088,0.13383468230195653,0.10409364179041064,25.817347524058377,8.002464257642385,22430.0,24730.0,37,13,1,0,0,0,24688,24698,26538,26501,Beaufort County,18.1,2607.0,50253.0,1.8524419518620014,39.32615299640983,19384.0,11.657155990600586,31.99312973022461,35.64108657836914,20.708629608154297,23.780086249017486,22.174070061394005,0.1934412619344126,-9.097769895475642
7,Bertie County,37015,17934.0,18712.0,0,1,-778.0,778.0,0,0,0,0,1871.1,-4.157759726378794,4.157759726378794,8936.0,7264.0,1672.0,1515.0,1480.0,1367.0,0.0,113.0,0.0,35.0,0.0,0.0,35.0,37,15,21282,Natural Decrease/Net Out-Migration,165,280,-115,8,-142,244,18947,"Bertie County, North Carolina",808.0,1025.0,822.0,989.0,1143.0,2439.0,2008.0,2349.0,1439.0,1711.0,2427.0,1492.0,429.0,35.49059427105601,63.07716973065413,0.4061564771269773,0.7268063274903805,63.94826849080803,2.1643864899529714,9572.0,9509.0,37,15,1,0,0,1,9822,9820,9854,9850,Bertie County,22.8,988.0,41889.0,1.9292432663531422,39.44527575887131,7742.0,21.183713912963867,36.679725646972656,27.626976013183597,14.509584426879885,23.236425823001284,19.474134245404016,0.18710832587287377,-9.279187817258883
8,Bladen County,37017,29606.0,32911.0,0,1,-3305.0,3305.0,0,1,0,1,3291.0,-10.042235118957189,10.042235118957189,15131.0,12410.0,2721.0,327.0,272.0,112.0,0.0,160.0,0.0,55.0,0.0,0.0,55.0,37,17,35190,Natural Decrease/Net Out-Migration,345,490,-145,2,190,109,32722,"Bladen County, North Carolina",1732.0,1856.0,2079.0,1938.0,1691.0,3686.0,3718.0,4156.0,2457.0,2598.0,4429.0,2127.0,742.0,58.41511956488712,35.00349427243171,2.661724043632828,0.1610403816353195,35.31949804016894,7.638783385494212,15982.0,17227.0,37,17,1,0,0,0,17718,17711,18074,18060,Bladen County,21.6,2308.0,43664.0,2.047947494758591,41.82796025644921,14440.0,16.819303512573242,30.886964797973636,34.12788009643555,18.165851593017575,22.174956701406824,23.107775515784994,0.1798294891282797,-16.218161683277962
9,Brunswick County,37019,136693.0,149039.0,0,1,-12346.0,12346.0,0,1,0,0,14903.8,-8.283737813592415,8.283737813592415,88330.0,61496.0,26834.0,964.0,851.0,241.0,0.0,610.0,0.0,113.0,0.0,0.0,113.0,37,19,107431,Natural Decrease/Net In-Migration,1035,1821,-786,4,6875,204,142820,"Brunswick County, North Carolina",5281.0,5576.0,6423.0,5667.0,5333.0,12474.0,13186.0,15157.0,11636.0,13333.0,29130.0,11163.0,2944.0,77.26769503284375,8.668200940693376,0.5569012137762599,0.486449855406974,10.1282214722321,4.488757976100215,65902.0,71401.0,37,19,0,1,1,0,77482,77481,98438,97610,Brunswick County,11.2,4102.0,64371.0,1.8800448204832292,34.45406906916981,54152.0,8.000146865844727,29.060840606689453,33.465415954589844,29.473596572875977,29.010527445836328,15.39664114761908,0.30379259594701685,-9.507222620633131
